,arg1,arg2,relation
5337,Kasturba Gandhi National Memorial Trust,Махатма Ганди,FOUNDED_BY
5338,Libra (криптовалюта),"Meta, Inc.",FOUNDED_BY
5339,Hard Candy Fitness,Мадонна,FOUNDED_BY
5340,Socialist Left,"Меланшон, Жан-Люк",FOUNDED_BY
5341,Wikimedia Open Source,Фонд Викимедиа,FOUNDED_BY
5342,European Air Transport Command,Бельгия,FOUNDED_BY
5343,Вассенарские соглашения,Швеция,FOUNDED_BY
5344,Комитет прав человека в СССР,Андрей Дмитриевич Сахаров,FOUNDED_BY
5345,Вассенарские соглашения,Словакия,FOUNDED_BY
5346,Викимедия:Инкубатор,Фонд Викимедиа,FOUNDED_BY
5347,Zangger Committee,Австралия,FOUNDED_BY
5348,Domovina (Slovenian media),2014 год,FOUNDED_BY
5349,Assassins' Gate,Саддам Хусейн,FOUNDED_BY
5350,Вассенарские соглашения,Россия,FOUNDED_BY
5351,Hawk Films,Стэнли Кубрик,FOUNDED_BY
5352,Israel Natural Gas Lines,Израиль,FOUNDED_BY
5353,Турция Бизнес Банк,Мустафа Кемаль Ататюрк,FOUNDED_BY
5354,Federal Agency for Financial Market Stabilisation,государство,FOUNDED_BY
5355,Единство,21 февраля,FOUNDED_BY
5356,Яндекс.Новости,Яндекс,FOUNDED_BY
5357,Международный день мигранта,Организация Объединённых Наций,FOUNDED_BY
5358,KDZ - Centre for Public Administration Research,Вена,FOUNDED_BY
5359,Onward Together,Хиллари Клинтон,FOUNDED_BY
5360,Организация Объединённых Наций,Колумбия,FOUNDED_BY
5361,AFRISTAT,Мали,FOUNDED_BY
5362,Вассенарские соглашения,Бельгия,FOUNDED_BY
5363,Franco-German University,Германия,FOUNDED_BY
5364,Commission for the Liberation of French Growth,Николя Саркози,FOUNDED_BY
5365,Музей академика Бободжана Гафурова,Таджикистан,FOUNDED_BY
5366,Панъевропейский союз Франции,Шарль де Голль,FOUNDED_BY
5367,Содружество Независимых Государств,РСФСР,FOUNDED_BY
5368,Global Network Initiative,Google,FOUNDED_BY
5369,Европейский союз,Бельгия,FOUNDED_BY
5370,Организация Объединённых Наций,Либерия,FOUNDED_BY
5371,Semtex Girls,Мадонна,FOUNDED_BY
5372,Compagnie des chemins de fer du Maroc,Франция,FOUNDED_BY
5373,Nasirabad Government High School,Бангладеш,FOUNDED_BY
5374,Вассенарские соглашения,Ирландия,FOUNDED_BY
5375,Institute of Arab Research and Studies,Лига арабских государств,FOUNDED_BY
5376,Музей на набережной Бранли – Жак-Ширак,Жак Ширак,FOUNDED_BY
5377,Gros Islet,Франция,FOUNDED_BY
5378,Организация Объединённых Наций,Аргентина,FOUNDED_BY
5379,J-Museum,Ювентус,FOUNDED_BY
5380,Université populaire de Caen,"Онфре, Мишель",FOUNDED_BY
5381,Front national,Жан-Мари Ле Пен,FOUNDED_BY
5382,Fort Santo Tomas,Христофор Колумб,FOUNDED_BY
5383,The Rocket Record Company,Элтон Джон,FOUNDED_BY
5384,International Day of Education,Организация Объединённых Наций,FOUNDED_BY
5385,Институт религиозных дел,Пий XII,FOUNDED_BY
5386,Европейское космическое агентство,Италия,FOUNDED_BY
5387,Группа ядерных поставщиков,Германия,FOUNDED_BY
5388,ASECNA,Кот-д’Ивуар,FOUNDED_BY
5389,Лига за свободу программирования,Ричард Столлман,FOUNDED_BY
5390,Фонд Викимедиа,Джимми Уэйлс,FOUNDED_BY
5391,Организация Объединённых Наций,Куба,FOUNDED_BY
5392,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Папуа — Новая Гвинея,FOUNDED_BY
5393,Вассенарские соглашения,Италия,FOUNDED_BY
5394,SACE S.p.A. Servizi Assicurativi del Commercio Estero,Италия,FOUNDED_BY
5395,Maverick Films,Мадонна,FOUNDED_BY
5396,European Air Transport Command,Нидерланды,FOUNDED_BY
5397,Организация Объединённых Наций,Панама,FOUNDED_BY
5398,Théâtre de George Sand,Жорж Санд,FOUNDED_BY
5399,Qt Project,Nokia,FOUNDED_BY
5400,Синь,Ван Ман,FOUNDED_BY
5401,Австралийская группа,Бельгия,FOUNDED_BY
5402,премия города Бордо имени Монтеня,Бордо,FOUNDED_BY
5403,R20 Regions of Climate Action,Арнольд Шварценеггер,FOUNDED_BY
5404,Sangit Bhavana,Рабиндранат Тагор,FOUNDED_BY
5405,Папский совет по массовым коммуникациям,Иоанн Павел II,FOUNDED_BY
5406,Альфорская национальная ветеринарная школа,"Буржела, Клод",FOUNDED_BY
5407,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Новая Зеландия,FOUNDED_BY
5408,Европейское космическое агентство,Испания,FOUNDED_BY
5409,Kotlin Foundation,Google,FOUNDED_BY
5410,Raising Malawi,Мадонна,FOUNDED_BY
5411,Республиканский конгресс,"Марзуки, Монсеф",FOUNDED_BY
5412,Халкевлери,Мустафа Кемаль Ататюрк,FOUNDED_BY
5413,Музей Орсе,Франсуа Миттеран,FOUNDED_BY
5414,Champaran Satyagraha,Махатма Ганди,FOUNDED_BY
5415,Novum Comum,Гай Юлий Цезарь,FOUNDED_BY
5416,Фонд Кофи Аннана,Кофи Аннан,FOUNDED_BY
5417,Livestrong Foundation,"Армстронг, Лэнс",FOUNDED_BY
5418,Международный день биологического разнообразия,Организация Объединённых Наций,FOUNDED_BY
5419,ТАСС,Совет народных комиссаров СССР,FOUNDED_BY
5420,Европейское космическое агентство,Великобритания,FOUNDED_BY
5421,Союз демократов в поддержку республики,Шарль де Голль,FOUNDED_BY
5422,Albert-Martmöller-Gymnasium,Виттен,FOUNDED_BY
5423,Рим,Ромул,FOUNDED_BY
5424,Мемориальная церковь кайзера Вильгельма,Вильгельм II,FOUNDED_BY
5425,Школа Вестминстер,Елизавета I,FOUNDED_BY
5426,Вассенарские соглашения,Финляндия,FOUNDED_BY
5427,Коспас-Сарсат,Франция,FOUNDED_BY
5428,Викисклад,Фонд Викимедиа,FOUNDED_BY
5429,AFRISTAT,Буркина-Фасо,FOUNDED_BY
5430,h2g2,Дуглас Адамс,FOUNDED_BY
5431,Старшая школа им. Хосе Нуньеса,Мануэль Монтт,FOUNDED_BY
5432,Athenian Brewery,Афины,FOUNDED_BY
5433,AFRISTAT,Центральноафриканская Республика,FOUNDED_BY
5434,Музей Армии обороны Израиля,Израиль,FOUNDED_BY
5435,Compagnie des Messageries Aériennes,Луи Блерио,FOUNDED_BY
5436,Организация Объединённых Наций,Уругвай,FOUNDED_BY
5437,Flemish Office of the Children's Rights Commissioner,Фламандский парламент,FOUNDED_BY
5438,A.P.T.W.R. School,Андхра-Прадеш,FOUNDED_BY
5439,Консорциум Всемирной паутины,Тим Бернерс-Ли,FOUNDED_BY
5440,WebGPU,Apple,FOUNDED_BY
5441,Community Central,Джимми Уэйлс,FOUNDED_BY
5442,Ludwig-Erhard-Stiftung,Людвиг Эрхард,FOUNDED_BY
5443,Office on Violence Against Women,Хиллари Клинтон,FOUNDED_BY
5444,Communal Natatorium Witten,Виттен,FOUNDED_BY
5445,бит-поколение,Аллен Гинзберг,FOUNDED_BY
5446,Airbus Foundation,Airbus Group,FOUNDED_BY
5447,ASECNA,Сенегал,FOUNDED_BY
5448,Park Road Post,Питер Джексон,FOUNDED_BY
5449,Gujarat Vidyapith,Махатма Ганди,FOUNDED_BY
5450,Вассенарские соглашения,Польша,FOUNDED_BY
5451,Лаборатория Касперского,"Касперский, Евгений Валентинович",FOUNDED_BY
5452,Институт Кюри,Мария Склодовская-Кюри,FOUNDED_BY
5453,GraphQL,"Meta, Inc.",FOUNDED_BY
5454,Государственный комитет СССР по телевидению и радиовещанию,Совет Министров СССР,FOUNDED_BY
5455,LEO LT,Литва,FOUNDED_BY
5456,Организация Объединённых Наций,Парагвай,FOUNDED_BY
5457,Австралийская группа,Италия,FOUNDED_BY
5458,Государственный совет Франции,Наполеон I,FOUNDED_BY
5459,конфуцианство,Конфуций,FOUNDED_BY
5460,Технологический центр Гюмри,Всемирный банк,FOUNDED_BY
5461,Конгрегация по делам восточных церквей,Бенедикт XV,FOUNDED_BY
5462,BgC3,Билл Гейтс,FOUNDED_BY
5463,IOWN Global Forum,Intel,FOUNDED_BY
5464,Zangger Committee,Дания,FOUNDED_BY
5465,Ниеншанц,Швеция,FOUNDED_BY
5466,Яндекс.Перевод,Яндекс,FOUNDED_BY
5467,Международная кинологическая федерация,Бельгия,FOUNDED_BY
5468,Международный день пожилых людей,Организация Объединённых Наций,FOUNDED_BY
5469,АВТОВАЗ,Совет Министров СССР,FOUNDED_BY
5470,Музей ордена Освобождения,Шарль де Голль,FOUNDED_BY
5471,International Internet Preservation Consortium,Архив Интернета,FOUNDED_BY
5472,Международный день девочек,Организация Объединённых Наций,FOUNDED_BY
5473,Городской Арчив Виттена,Виттен,FOUNDED_BY
5474,Азад Хинд,Субхас Чандра Бос,FOUNDED_BY
5475,Египетский музей и собрание папирусов,Александр фон Гумбольдт,FOUNDED_BY
5476,Лицей Хайдарпаша,Мустафа Кемаль Ататюрк,FOUNDED_BY
5477,The Great 78 Project,Архив Интернета,FOUNDED_BY
5478,"Department of Applied Science, UC Davis",Эдвард Теллер,FOUNDED_BY
5479,TDF Group,Франция,FOUNDED_BY
5480,Национальный морской парк Папаханаумокуакеа,Джордж Уокер Буш,FOUNDED_BY
5481,Advisory Commission for Archaeological Research Abroad,Шарль де Голль,FOUNDED_BY
5482,Image Institute of Technology & Management,Гиридхарилал Кедиа,FOUNDED_BY
5483,Musei civici di Treviso,Luigi Bailo,FOUNDED_BY
5484,MovieBeam,The Walt Disney Company,FOUNDED_BY
5485,WFIM,Катар,FOUNDED_BY
5486,Caribbean Free Trade Association,Барбадос,FOUNDED_BY
5487,Future Foundation,Себастьян Пиньера,FOUNDED_BY
5488,Клятва дарения,Билл Гейтс,FOUNDED_BY
5489,Prime Video,Amazon,FOUNDED_BY
5490,Дом искусства,Адольф Гитлер,FOUNDED_BY
5491,Pacific Century Motors,Пекин,FOUNDED_BY
5492,хунвэйбины,Мао Цзэдун,FOUNDED_BY
5493,Нупедия,Ларри Сэнгер,FOUNDED_BY
5494,Союз за французскую демократию,Валери Жискар д’Эстен,FOUNDED_BY
5495,ATelecine,Саша Грей,FOUNDED_BY
5496,Aachener Domchor,Карл Великий,FOUNDED_BY
5497,Коммунистическая партия Германии,Роза Люксембург,FOUNDED_BY
5498,Le National,"Тьер, Луи Адольф",FOUNDED_BY
5499,Beats by Dr. Dre,Dr. Dre,FOUNDED_BY
5500,Vox,Эзра Кляйн,FOUNDED_BY
5501,Коспас-Сарсат,Канада,FOUNDED_BY
5502,Лига арабских государств,Сирия,FOUNDED_BY
5503,AFRISTAT,Экваториальная Гвинея,FOUNDED_BY
5504,Fundació Futbol Club Barcelona,Барселона,FOUNDED_BY
5505,Death Row Records,Dr. Dre,FOUNDED_BY
5506,Margaret Thatcher Foundation,Маргарет Тэтчер,FOUNDED_BY
5507,Организация Объединённых Наций,Чили,FOUNDED_BY
5508,"Talmei Yosef, Sinai",США,FOUNDED_BY
5509,Государственная юридическая магистратура,Шарль де Голль,FOUNDED_BY
5510,WT:Social,Джимми Уэйлс,FOUNDED_BY
5511,Фонд Билла и Мелинды Гейтс,Билл Гейтс,FOUNDED_BY
5512,Европейское космическое агентство,Швеция,FOUNDED_BY
5513,марксизм-ленинизм,Владимир Ильич Ленин,FOUNDED_BY
5514,Организация Объединённых Наций,США,FOUNDED_BY
5515,Министерство сельского хозяйства США,Авраам Линкольн,FOUNDED_BY
5516,TerraPower,Билл Гейтс,FOUNDED_BY
5517,Московский государственный академический симфонический оркестр,Правительство СССР,FOUNDED_BY
5518,Викиданные,Фонд Викимедиа,FOUNDED_BY
5519,Викисловарь,Ларри Сэнгер,FOUNDED_BY
5520,Викиучебник,Фонд Викимедиа,FOUNDED_BY
5521,Nederlandse Spoorwegen,Нидерланды,FOUNDED_BY
5522,Бонапарты,Наполеон I,FOUNDED_BY
5523,WFIM,Оман,FOUNDED_BY
5524,World Wide Web Foundation,Тим Бернерс-Ли,FOUNDED_BY
5525,.NET Foundation,Майкрософт,FOUNDED_BY
5526,Яндекс.Лента,Яндекс,FOUNDED_BY
5527,St. George's Grammar School,Великобритания,FOUNDED_BY
5528,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Вануату,FOUNDED_BY
5529,Европейский союз,Франция,FOUNDED_BY
5530,Новые идеи,Саудовская Аравия,FOUNDED_BY
5531,Feast of Christ the Priest,Бенедикт XVI,FOUNDED_BY
5532,Каролинум,Карл Великий,FOUNDED_BY
5533,Marv Films,Мэттью Вон,FOUNDED_BY
5534,Willett Advisors,Майкл Блумберг,FOUNDED_BY
5535,Music for Relief,Linkin Park,FOUNDED_BY
5536,"Dundee, New Brunswick",Шотландия,FOUNDED_BY
5537,Организация Объединённых Наций,Индия,FOUNDED_BY
5538,Zangger Committee,Норвегия,FOUNDED_BY
5539,Missile Technology Control Regime,Япония,FOUNDED_BY
5540,Obama Foundation,Барак Обама,FOUNDED_BY
5541,Организация Объединённых Наций,Никарагуа,FOUNDED_BY
5542,AFRISTAT,Бенин,FOUNDED_BY
5543,Организация Объединённых Наций,Венесуэла,FOUNDED_BY
5544,ASECNA,Камерун,FOUNDED_BY
5545,Организация Объединённых Наций,Канада,FOUNDED_BY
5546,National Citizen Service,Дэвид Кэмерон,FOUNDED_BY
5547,Французский университетский колледж (Москва),Андрей Дмитриевич Сахаров,FOUNDED_BY
5548,Международная кинологическая федерация,Германия,FOUNDED_BY
5549,Авиационный комплекс имени С. В. Ильюшина,Правительство СССР,FOUNDED_BY
5550,Missile Technology Control Regime,Германия,FOUNDED_BY
5551,Try Me Records,Джеймс Браун,FOUNDED_BY
5552,ASECNA,Франция,FOUNDED_BY
5553,Zangger Committee,Великобритания,FOUNDED_BY
5554,X Парный легион,Гай Юлий Цезарь,FOUNDED_BY
5555,Citer SA,Citroën,FOUNDED_BY
5556,Единство,27 мая,FOUNDED_BY
5557,Research and Documentation Center in Sarajevo,Норвегия,FOUNDED_BY
5558,Проект GNU,Ричард Столлман,FOUNDED_BY
5559,TOPCASED,Airbus,FOUNDED_BY
5560,Викитрибуна,Джимми Уэйлс,FOUNDED_BY
5561,Luigi Bailo Museum,Luigi Bailo,FOUNDED_BY
5562,Citizendium,Ларри Сэнгер,FOUNDED_BY
5563,Charles Chaplin Film Corporation,Чарли Чаплин,FOUNDED_BY
5564,Made with Code,Google,FOUNDED_BY
5565,Positive Christianity,Национал-социалистическая немецкая рабочая партия,FOUNDED_BY
5566,Walter-Scheel-Stiftung,Вальтер Шеель,FOUNDED_BY
5567,Поиск Google,Ларри Пейдж,FOUNDED_BY
5568,Richmond School,Елизавета I,FOUNDED_BY
5569,Союз за республику,Фор Эссозимна Гнассингбе,FOUNDED_BY
5570,Союз Спартака,Роза Люксембург,FOUNDED_BY
5571,Bream Bay,Джеймс Кук,FOUNDED_BY
5572,Ростелеком,Россия,FOUNDED_BY
5573,Новые демократы (США),Билл Клинтон,FOUNDED_BY
5574,Чемпионат мира по крикету,Англия,FOUNDED_BY
5575,Swan Song Records,Led Zeppelin,FOUNDED_BY
5576,Železničná spoločnosť Cargo Slovakia,Словакия,FOUNDED_BY
5577,Bomis,Джимми Уэйлс,FOUNDED_BY
5578,Corps des Volontaires françaises,Шарль де Голль,FOUNDED_BY
5579,International Federation for Information and Documentation,Поль Отле,FOUNDED_BY
5580,Kuwait National Petroleum Company,Кувейт,FOUNDED_BY
5581,III Галльский легион,Гай Юлий Цезарь,FOUNDED_BY
5582,Австралийская группа,Франция,FOUNDED_BY
5583,Cascade Investment,Билл Гейтс,FOUNDED_BY
5584,Группа ядерных поставщиков,США,FOUNDED_BY
5585,Вассенарские соглашения,Канада,FOUNDED_BY
5586,Армия Союза,Авраам Линкольн,FOUNDED_BY
5587,Ликей,Аристотель,FOUNDED_BY
5588,AFRISTAT,Камерун,FOUNDED_BY
5589,Atticus Clothing,Марк Хоппус,FOUNDED_BY
5590,European Air Transport Command,Германия,FOUNDED_BY
5591,Бенилюкс,Нидерланды,FOUNDED_BY
5592,Mevrex,человек,FOUNDED_BY
5593,Организация Объединённых Наций,Эквадор,FOUNDED_BY
5594,Illinois Soldiers' and Sailors' Children's School,Иллинойс,FOUNDED_BY
5595,Коммунистическая партия Советского Союза,Владимир Ильич Ленин,FOUNDED_BY
5596,Sociedad Chilena de Historia y Geografía,Мануэль Монтт,FOUNDED_BY
5597,Большой гипостильный зал,Рамсес II,FOUNDED_BY
5598,Imagine Peace Tower,Рейкьявик,FOUNDED_BY
5599,Wunu school,Хуан Сяньфань,FOUNDED_BY
5600,Societät für die Gesammte Mineralogie,Иоганн Вольфганг фон Гёте,FOUNDED_BY
5601,Society of Japanese Women Scientists,"Сарухаси, Кацуко",FOUNDED_BY
5602,DATA,Билл Гейтс,FOUNDED_BY
5603,Австралийская группа,Дания,FOUNDED_BY
5604,Блерио аэронотик,Луи Блерио,FOUNDED_BY
5605,Организация Объединённых Наций,Саудовская Аравия,FOUNDED_BY
5606,Bloomberg IP Holdings LLC,Майкл Блумберг,FOUNDED_BY
5607,The School of Architecture,"Райт, Фрэнк Ллойд",FOUNDED_BY
5608,Международный день мира,Организация Объединённых Наций,FOUNDED_BY
5609,Движение свободного программного обеспечения,Ричард Столлман,FOUNDED_BY
5610,СССР,РСФСР,FOUNDED_BY
5611,Microsoft Anti-Virus for Windows,Майкрософт,FOUNDED_BY
5612,Си Ся,Цзин-цзун,FOUNDED_BY
5613,Österreichische Donaukraftwerke,Австрия,FOUNDED_BY
5614,Русские Викиновости,Фонд Викимедиа,FOUNDED_BY
5615,Филиппинская лига,Хосе Рисаль,FOUNDED_BY
5616,HandMade Films,Джордж Харрисон,FOUNDED_BY
5617,Castlepoint,Джеймс Кук,FOUNDED_BY
5618,Apple Boutique,The Beatles,FOUNDED_BY
5619,Franco-German University,Франция,FOUNDED_BY
5620,Fundación Tres Culturas,Марокко,FOUNDED_BY
5621,DDEX,Google,FOUNDED_BY
5622,Вассенарские соглашения,Великобритания,FOUNDED_BY
5623,Coalition for Epidemic Preparedness Innovations,Европейский союз,FOUNDED_BY
5624,The Spaceguard Foundation,Международный астрономический союз,FOUNDED_BY
5625,Викиновости,Фонд Викимедиа,FOUNDED_BY
5626,Brownstone,Джеймс Браун,FOUNDED_BY
5627,Германский фонд исследований проблем мира,Германия,FOUNDED_BY
5628,Planetary Report,Карл Эдвард Саган,FOUNDED_BY
5629,Палатинская академия,Карл Великий,FOUNDED_BY
5630,Вассенарские соглашения,Украина,FOUNDED_BY
5631,Дом Америк,Куба,FOUNDED_BY
5632,Солидарность,Лех Валенса,FOUNDED_BY
5633,NMBS/SNCB,Бельгия,FOUNDED_BY
5634,Организация Объединённых Наций,Перу,FOUNDED_BY
5635,Kleinbahn Kiel-Segeberg,Киль,FOUNDED_BY
5636,Организация Объединённых Наций,Ирак,FOUNDED_BY
5637,Лига арабских государств,Ливан,FOUNDED_BY
5638,Вассенарские соглашения,Норвегия,FOUNDED_BY
5639,XIII Парный легион,Гай Юлий Цезарь,FOUNDED_BY
5640,ATAF,Флоренция,FOUNDED_BY
5641,Bengal Volunteers,Субхас Чандра Бос,FOUNDED_BY
5642,Бенилюкс,Люксембург,FOUNDED_BY
5643,Electric Lady Studios,Джими Хендрикс,FOUNDED_BY
5644,Culper Ring,Джордж Вашингтон,FOUNDED_BY
5645,Группа ядерных поставщиков,Франция,FOUNDED_BY
5646,Tuff Gong Studios,Боб Марли,FOUNDED_BY
5647,Организация Объединённых Наций,Филиппины,FOUNDED_BY
5648,Петербургский диалог,Герхард Шрёдер,FOUNDED_BY
5649,орден Почётного легиона,Наполеон I,FOUNDED_BY
5650,Австралийская группа,Австралия,FOUNDED_BY
5651,Вассенарские соглашения,Дания,FOUNDED_BY
5652,Организация Объединённых Наций,Гондурас,FOUNDED_BY
5653,Университет Гельмута Шмидта,Гельмут Шмидт,FOUNDED_BY
5654,Rocket Pictures,Элтон Джон,FOUNDED_BY
5655,Google Планета Земля,Google,FOUNDED_BY
5656,Сан-Жуан-Баптишта-де-Ажуда,Португалия,FOUNDED_BY
5657,Министерство внутренней безопасности,Джордж Уокер Буш,FOUNDED_BY
5658,Замок Блэкрок,Елизавета I,FOUNDED_BY
5659,PARIS21,Всемирный банк,FOUNDED_BY
5660,Truth or Dare by Madonna,Мадонна,FOUNDED_BY
5661,United States Park Police,Джордж Вашингтон,FOUNDED_BY
5662,Необольшевизм,Джордж Оруэлл,FOUNDED_BY
5663,Machine Shop co.,Linkin Park,FOUNDED_BY
5664,Сен-Сир,Наполеон I,FOUNDED_BY
5665,Викивиды,Фонд Викимедиа,FOUNDED_BY
5666,Bain Capital,Митт Ромни,FOUNDED_BY
5667,The Student,Роберт Льюис Стивенсон,FOUNDED_BY
5668,British Aerospace,Правительство Великобритании,FOUNDED_BY
5669,Алоней-Абба,Австрия,FOUNDED_BY
5670,Arbitration Committee in English Wikipedia,Джимми Уэйлс,FOUNDED_BY
5671,Maverick,Мадонна,FOUNDED_BY
5672,ВингНут Филмз,Питер Джексон,FOUNDED_BY
5673,British Council in Algeria,Правительство Великобритании,FOUNDED_BY
5674,Thomas Pink,Лондон,FOUNDED_BY
5675,Национальная старшая школа общественной безопасности,Шарль де Голль,FOUNDED_BY
5676,Центральная консистория израильтян Франции,Наполеон I,FOUNDED_BY
5677,Vapor Records,Нил Янг,FOUNDED_BY
5678,Гродно Азот,Совет Министров СССР,FOUNDED_BY
5679,WikiLeaks,Джулиан Ассанж,FOUNDED_BY
5680,Global Network Initiative,Майкрософт,FOUNDED_BY
5681,Google+,Google,FOUNDED_BY
5682,ASECNA,Республика Конго,FOUNDED_BY
5683,Google Code Jam,Google,FOUNDED_BY
5684,AFRISTAT,Чад,FOUNDED_BY
5685,Ландскрона,Швеция,FOUNDED_BY
5686,Kilusang Bagong Lipunan,Фердинанд Маркос,FOUNDED_BY
5687,World Wide Web Virtual Library,Тим Бернерс-Ли,FOUNDED_BY
5688,Vertu,Nokia,FOUNDED_BY
5689,Ратуша,Виттен,FOUNDED_BY
5690,Français d'abord !,Жан-Мари Ле Пен,FOUNDED_BY
5691,Alexandria Monroe High School,Боб Дилан,FOUNDED_BY
5692,Gyulaj Hunting Hungary,Венгрия,FOUNDED_BY
5693,Университет Висва Бхарати,Рабиндранат Тагор,FOUNDED_BY
5694,Организация Объединённых Наций,Мексика,FOUNDED_BY
5695,Научно-исследовательский и проектно-технологический институт электроугольных изделий,Совет Министров СССР,FOUNDED_BY
5696,International Association of Prosecutors,Организация Объединённых Наций,FOUNDED_BY
5697,Vulcania,Валери Жискар д’Эстен,FOUNDED_BY
5698,Groupe PSA,Peugeot,FOUNDED_BY
5699,Вассенарские соглашения,Япония,FOUNDED_BY
5700,Австралийская группа,Новая Зеландия,FOUNDED_BY
5701,Initiative for Open Citations,Фонд Викимедиа,FOUNDED_BY
5702,СССР,Белорусская Советская Социалистическая Республика,FOUNDED_BY
5703,Международная кинологическая федерация,Нидерланды,FOUNDED_BY
5704,CDT 'Smyk' Department Store,Польша,FOUNDED_BY
5705,Единство,3 октября,FOUNDED_BY
5706,Технический Университет Северной Франции,Лилль,FOUNDED_BY
5707,Организация Объединённых Наций,Иран,FOUNDED_BY
5708,Вассенарские соглашения,Турция,FOUNDED_BY
5709,ASECNA,Центральноафриканская Республика,FOUNDED_BY
5710,International Day of Living Together in Peace,Организация Объединённых Наций,FOUNDED_BY
5711,Объединённая Арабская Республика,Египет,FOUNDED_BY
5712,Папская комиссия по делам государства-града Ватикана,Пий XII,FOUNDED_BY
5713,Beit Hazon,США,FOUNDED_BY
5714,Школы наук и технологий Лилль,Луи Пастер,FOUNDED_BY
5715,Premio Presidente della Repubblica (prize),Луиджи Эйнауди,FOUNDED_BY
5716,Alan Turing Institute,Правительство Великобритании,FOUNDED_BY
5717,Bundeskunstsammlung,Вилли Брандт,FOUNDED_BY
5718,III Августов легион,Октавиан Август,FOUNDED_BY
5719,The National Herald,Джавахарлал Неру,FOUNDED_BY
5720,День сотрудничества Юг-Юг Организации Объединённых Наций,Организация Объединённых Наций,FOUNDED_BY
5721,Безек,Израиль,FOUNDED_BY
5722,Организация Объединённых Наций,Норвегия,FOUNDED_BY
5723,Вассенарские соглашения,Германия,FOUNDED_BY
5724,ASECNA,Бенин,FOUNDED_BY
5725,Википедия,Джимми Уэйлс,FOUNDED_BY
5726,AFRISTAT,Коморы,FOUNDED_BY
5727,Aziz Group,1965 год,FOUNDED_BY
5728,Collegium Budapest,Баден-Вюртемберг,FOUNDED_BY
5729,Caribbean Free Trade Association,Гайана,FOUNDED_BY
5730,Ювеналии,Нерон,FOUNDED_BY
5731,орден Академических пальм,Наполеон I,FOUNDED_BY
5732,Ассоциация государств Юго-Восточной Азии,Филиппины,FOUNDED_BY
5733,Управление финансовой информации Святого Престола,Бенедикт XVI,FOUNDED_BY
5734,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Фиджи,FOUNDED_BY
5735,Организация Объединённых Наций,Великобритания,FOUNDED_BY
5736,Hodaya,Индия,FOUNDED_BY
5737,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Маршалловы Острова,FOUNDED_BY
5738,AFRISTAT,Республика Конго,FOUNDED_BY
5739,Gala-Salvador Dalí Foundation,Сальвадор Дали,FOUNDED_BY
5740,Гезер,Европа,FOUNDED_BY
5741,Clinton Bush Haiti Fund,Билл Клинтон,FOUNDED_BY
5742,Литературная премия Вильгельма Раабе,Брауншвейг,FOUNDED_BY
5743,Natun Bari,Рабиндранат Тагор,FOUNDED_BY
5744,Haguenau French National Cemetery,Германия,FOUNDED_BY
5745,OPCW-UN Joint Mission in Syria,Организация Объединённых Наций,FOUNDED_BY
5746,Agence Bénin Presse,Бенин,FOUNDED_BY
5747,Вассенарские соглашения,Португалия,FOUNDED_BY
5748,DLNA,Intel,FOUNDED_BY
5749,Museo delle Genti d'Abruzzo,Пескара,FOUNDED_BY
5750,физическая география,Александр фон Гумбольдт,FOUNDED_BY
5751,Республиканцы,Николя Саркози,FOUNDED_BY
5752,Шарльбур-Руаяль,"Картье, Жак",FOUNDED_BY
5753,Former Indian National Army Monument,Субхас Чандра Бос,FOUNDED_BY
5754,Австралийская группа,Великобритания,FOUNDED_BY
5755,Непокоренная Франция,"Меланшон, Жан-Люк",FOUNDED_BY
5756,Google,Ларри Пейдж,FOUNDED_BY
5757,FWD.us,Билл Гейтс,FOUNDED_BY
5758,Fedayeen Saddam,Саддам Хусейн,FOUNDED_BY
5759,Группа ядерных поставщиков,Япония,FOUNDED_BY
5760,Breakthrough Energy Coalition,Билл Гейтс,FOUNDED_BY
5761,Тихоокеанский альянс,Чили,FOUNDED_BY
5762,ленинизм,Владимир Ильич Ленин,FOUNDED_BY
5763,World Combat League,Чак Норрис,FOUNDED_BY
5764,орден Ленина,Иосиф Виссарионович Сталин,FOUNDED_BY
5765,Правда,Владимир Ильич Ленин,FOUNDED_BY
5766,ASECNA,Чад,FOUNDED_BY
5767,Брэбэм,Джек Брэбем,FOUNDED_BY
5768,L'Harmonie,человек,FOUNDED_BY
5769,Британский совет,Правительство Великобритании,FOUNDED_BY
5770,G-Unit Films and Television Inc.,50 Cent,FOUNDED_BY
5771,Interview,Энди Уорхол,FOUNDED_BY
5772,ClubJenna,Дженна Джеймсон,FOUNDED_BY
5773,Коспас-Сарсат,США,FOUNDED_BY
5774,Matter,Google,FOUNDED_BY
5775,пуризм,Ле Корбюзье,FOUNDED_BY
5776,carrosses à cinq sols,Блез Паскаль,FOUNDED_BY
5777,Missile Technology Control Regime,Канада,FOUNDED_BY
5778,Международный день молодёжи,Организация Объединённых Наций,FOUNDED_BY
5779,Национальная обсерватория,Педру I,FOUNDED_BY
