,arg1,arg2,relation
107,Карл Блеха,Бруно Крайский,KNOWS
108,Emma Jacobsson,Лиза Мейтнер,KNOWS
109,Lotte Mueller,Эрхард Мильх,KNOWS
110,Jia Zhi,Ли Бо,KNOWS
111,beheading of John the Baptist,Иоанн Креститель,KNOWS
112,Чжу Цзяхуа,"Розе, Герхард",KNOWS
113,Wang Sheng (Han dynasty),Ань-ди,KNOWS
114,Erika Koenig,"Шефер, Конрад",KNOWS
115,Ernst Lutze,"Шрёдер, Оскар",KNOWS
116,Эдит Пиаф,Жан Кокто,KNOWS
117,Maria Hedwig Dorothea Bunny,"Лейхгардт, Людвиг",KNOWS
118,Девяносто девять,Амелия Эрхарт,KNOWS
119,Лиза Мейтнер,Нильс Бор,KNOWS
120,экономика,"Менгер, Карл",KNOWS
121,Max Peters,Карл Генцкен,KNOWS
122,Лаврентий Павлович Берия,Иосиф Виссарионович Сталин,KNOWS
123,Этьен де Ла Боэси,Мишель де Монтень,KNOWS
124,Wilhelm Schwister,Франц Шлегельбергер,KNOWS
125,сюрреализм,Рене Магритт,KNOWS
126,Сергей Павлович Королёв,Юрий Алексеевич Гагарин,KNOWS
127,Куинз-колледж,Пол Саймон,KNOWS
128,Antiphus,Гесиод,KNOWS
129,Hans Albrecht Grueninger,Виктор Брак,KNOWS
130,284 год,Диоклетиан,KNOWS
131,"Поллак, Мими",Грета Гарбо,KNOWS
132,Удо Прокш,Муаммар Каддафи,KNOWS
133,Удо Прокш,Леопольд Грац,KNOWS
134,Daisy von Arnim,Карл Франц Гебхардт,KNOWS
135,Gerhard Herrgesell,Адольф Гитлер,KNOWS
136,шиизм,Али ибн Абу Талиб,KNOWS
137,C. H. Behr,Вильгельм Байгльбёк,KNOWS
138,Hans Bruns,"Шефер, Конрад",KNOWS
139,Бруно Крайский,Улоф Пальме,KNOWS
140,2018 Christmas Cup - senior men's singles free skating,"Лурц, Дагмар",KNOWS
141,Else Seel,Зента Мауриня,KNOWS
142,Helmina von Chézy,Therese Huber,KNOWS
143,KayCyy,Канье Уэст,KNOWS
144,Fritz Grau,"Тирак, Отто",KNOWS
145,Ernest Boutier,Поль Верлен,KNOWS
146,L.C. Dorsey,Джимми Картер,KNOWS
147,Йозеф Геббельс,Адольф Гитлер,KNOWS
148,Verwandschafts- und Schwägerschafts-Tafel der Familie Mozart (BLKÖ),Вольфганг Амадей Моцарт,KNOWS
149,Kaethe Sommer,Карл Франц Гебхардт,KNOWS
150,библейская история о потопе,Ной,KNOWS
151,Поль Сезанн,Эмиль Золя,KNOWS
152,1997 Piacenza train accident,Франческо Коссига,KNOWS
153,Heinrich Bales,Виланд Вагнер,KNOWS
154,"The Grange, Clapham Common",Бенджамин Франклин,KNOWS
155,Карл Манне Георг Сигбан,Лиза Мейтнер,KNOWS
156,невзаимозаменяемый токен,Луис Альберто Суарес,KNOWS
157,Joachim-Friedrich Hanisch,Карл Генцкен,KNOWS
158,Nuremberg Court Prison,Johann Reichhart,KNOWS
159,Гран-при Германии 2016 года,Даниэль Риккардо,KNOWS
